dataset_id,metric,mean,sd
bifurcating,correlation,0.1640337067656219,0.8417991069145501
bifurcating,F1_branches,0.9318191693164408,0.5084262602031231
bifurcating,featureimp_wcor,0.7383440807461739,0.4883916974067688
bifurcating,him,0.4933448722586036,0.005027464358136058
disconnected,correlation,0.0294507360085845,0.09740370721556246
disconnected,F1_branches,0.08650964521802962,0.0757254222407937
disconnected,featureimp_wcor,0.6172951143234968,0.06581606948748231
disconnected,him,0.18961342074908316,0.5220980409067124
linear,correlation,0.7210436554159969,0.013423005351796746
linear,F1_branches,0.7626815473195165,0.5452689153607935
linear,featureimp_wcor,0.13287262292578816,0.8014115947298706
linear,him,0.1965349626261741,0.2876500671263784
tree,correlation,0.2299038707278669,0.2158053102903068
tree,F1_branches,0.6086013184394687,0.396465947618708
tree,featureimp_wcor,0.8947651777416468,0.04838784132152796
tree,him,0.9591833555605263,0.9137881526257843
