"from","to","cell_id","percentage"
"A","B","C1",0.235534465266728
"A","B","C2",0.184156026291537
"A","B","C3",0.961285590127907
"A","B","C4",0.354316094812239
"A","B","C5",0.0646867767678408
"A","B","C6",0.0865994560234067
"A","B","C7",0.271462296398841
"A","B","C8",0.105174000213435
"A","B","C9",0.281702988597527
"A","B","C10",0.0921260302409293
"A","B","C11",0.271020750093575
"A","B","C12",0.504260729304558
"A","B","C13",0.239706571935537
"A","B","C14",0.290683295448912
"A","B","C15",0.097318748131842
"A","B","C16",0.14712761612046
"A","B","C17",0.16340793493338
"A","B","C18",0.109892962556371
"A","B","C19",0.543005012154463
"A","B","C20",0.303848553500961
"A","B","C21",0.135709958519698
"A","B","C22",0.108922904925303
"A","B","C23",0.156881880136415
"A","B","C24",0.335266876205985
"A","B","C25",0.201526692954009
"A","B","C26",0.613358434104033
"A","B","C27",0.25534208749406
"A","B","C28",0.10257070450383
"A","B","C29",0.43278175216298
"A","B","C30",0.264940627749795
"A","B","C31",0.325139696728296
"A","B","C32",0.437780457611587
"A","B","C33",0.890929626084938
"A","B","C34",0.320566550936217
"A","B","C35",0.550958573441785
"A","B","C36",0.373932802781107
"A","B","C37",0.599569859573788
"A","B","C38",0.266735817318245
"A","B","C39",0.412733923239663
"A","B","C40",0.0545618126311747
"A","B","C41",0.228049210163078
"A","B","C42",0.166178730761231
"A","B","C43",0.0998557015690668
"A","B","C44",0.240368241204924
"A","B","C45",0.366418459719389
"A","B","C46",0.195286793636285
"A","B","C47",0.736277659912688
"A","B","C48",0.968071189967405
"A","B","C49",0.14591843099111
"A","B","C50",0.991032056990354
"A","B","C51",0.226207572330165
"A","B","C52",0.96874146884575
"A","B","C53",0.0446393698602614
"A","B","C54",0.71106014618598
"A","B","C55",0.758955987027863
"A","B","C56",0.263790267957919
"A","B","C57",0.150140435736942
"A","B","C58",0.234769600882281
"A","B","C59",0.165038760055761
"A","B","C60",0.290963350245463
"A","B","C61",0.984842212071951
"A","B","C62",0.386822878082369
"A","B","C63",0.131141963994903
"A","B","C64",0.256247793717039
"A","B","C65",0.872462943631299
"A","B","C66",0.311720690109413
"A","B","C67",0.272851746747941
"A","B","C68",0.241947778498457
