"from","to","cell_id","percentage"
"A","B","C1",0.639534800797755
"A","B","C2",0.384094185050542
"A","B","C3",0.589296552413119
"A","B","C4",0.1005799019597
"A","B","C5",0.711318046049331
"A","B","C6",0.164175885758281
"A","B","C7",0.635179801543904
"A","B","C8",0.0774107256505035
"A","B","C9",0.885181366197916
"A","B","C10",0.748994650086815
"A","B","C11",0.831330920440978
"A","B","C12",0.745220898429383
"A","B","C13",0.564740572745264
"A","B","C14",0.775687462792187
"A","B","C15",0.88005945989557
"A","B","C16",0.891405475928426
"A","B","C17",0.362454837883748
"A","B","C18",0.733208608966749
"A","B","C19",0.908867147482015
"A","B","C20",0.823353602296241
"A","B","C21",0.917452191123621
"A","B","C22",0.189117210184236
"A","B","C23",0.340445935621972
"A","B","C24",0.157380497055488
"A","B","C25",0.865653230905244
"A","B","C26",0.461536037548824
"A","B","C27",0.00998090136836691
"A","B","C28",0.791139267840103
"A","B","C29",0.457218190894694
"A","B","C30",0.928189442262816
"A","B","C31",0.802881959262051
"A","B","C32",0.872049089759303
"A","B","C33",0.0217194415483503
"A","B","C34",0.152685356022449
"A","B","C35",0.459411968916014
"A","B","C36",1
"A","B","C37",0.843756945937914
"A","B","C38",0.792124040220408
"A","B","C39",0.91399213123039
"A","B","C40",0.108951552455816
"A","B","C41",0.945951050293842
"A","B","C42",0.0236769919532727
"A","B","C43",0.84060683636724
"A","B","C44",0.857426186679798
"A","B","C45",0.0261564642095227
"A","B","C46",0.642258469644212
"A","B","C47",0.88009797410662
"A","B","C48",0.734138136189044
"A","B","C49",0.663852324717156
"A","B","C50",0.0415121347405869
"A","B","C51",0.937479899895616
"A","B","C52",0.0540210581501514
"A","B","C53",0.868249159292684
"A","B","C54",0.0572586777540854
"A","B","C55",0.360446879462964
"A","B","C56",0.960073535087905
"A","B","C57",0.376419971779839
"A","B","C58",0.23726059825051
"A","B","C59",0.725262103997136
"A","B","C60",0.80900057487661
"A","B","C61",0.900930477316298
"A","B","C62",0.858202870745765
"A","B","C63",0.770303539233935
"A","B","C64",0.020542671975547
"A","B","C65",0.64773357439337
"A","B","C66",0.801741239421774
"A","B","C67",0.803279912714244
"A","B","C68",0.103109203141749
"A","B","C69",0.81626507243646
"A","B","C70",0.0777098900490115
"A","B","C71",0.202987914114391
"A","B","C72",0.702710909691501
"A","B","C73",0.168805713524541
"A","B","C74",0.629121756196287
"A","B","C75",0.0975943192807866
"A","B","C76",0.157328049313114
"A","B","C77",0.659023210897917
"A","B","C78",0.180981143409272
"A","B","C79",0.095962132018668
"A","B","C80",0.0904741565717883
"A","B","C81",0.153367747439496
"A","B","C82",0.220763990693532
"A","B","C83",0.0724801045494821
"A","B","C84",0
"A","B","C85",0.380507107668188
"A","B","C86",0.130717561630578
"A","B","C87",0.227439510218781
"A","B","C88",0.790995559387121
"A","B","C89",0.806099229734015
"A","B","C90",0.0590448809699428
"A","B","C91",0.723937604411596
"A","B","C92",0.155261622341475
"A","B","C93",0.855403038140328
"A","B","C94",0.483048781454587
"A","B","C95",0.0770882013311979
"A","B","C96",0.136186339764123
"A","B","C97",0.200208581719665
"A","B","C98",0.111413418265309
"A","B","C99",0.303814161214475
"A","B","C100",0.799517295926457
"A","B","C101",0.77840813977445
"A","B","C102",0.841616238536338
"A","B","C103",0.873258688469113
"A","B","C104",0.099480904059644
"A","B","C105",0.492158529310477
"A","B","C106",0.818266949277691
"A","B","C107",0.737447389527798
"A","B","C108",0.189874888157434
"A","B","C109",0.176321694348232
"A","B","C110",0.378239961356839
"A","B","C111",0.640272110406717
"A","B","C112",0.115062542631172
"A","B","C113",0.0621434039902228
"A","B","C114",0.743320203052228
"A","B","C115",0.778868756067693
"A","B","C116",0.0255171940635079
"A","B","C117",0.088641435636224
"A","B","C118",0.703403554524089
"A","B","C119",0.89666687469713
"A","B","C120",0.360108620413044
"A","B","C121",0.4591912821299
"A","B","C122",0.419010481043589
"A","B","C123",0.420969467179669
"A","B","C124",0.0822997419069231
"A","B","C125",0.679973419986656
"A","B","C126",0.666596021120586
"A","B","C127",0.810864331977314
"A","B","C128",0.0317629816743608
"A","B","C129",0.631600074838483
"A","B","C130",0.509714782402525
"A","B","C131",0.45771455618869
"A","B","C132",0.180260855085332
"A","B","C133",0.728188882490894
"A","B","C134",0.76334961897066
"A","B","C135",0.115360225663218
"A","B","C136",0.025101559305261
"A","B","C137",0.340379807802377
"A","B","C138",0.0533718933029845
"A","B","C139",0.134199830249663
"A","B","C140",0.0777310874760977
"A","B","C141",0.580977579761613
"A","B","C142",0.130402021164679
"A","B","C143",0.0896511844693668
"A","B","C144",0.118394653114563
"A","B","C145",0.454017726032482
"A","B","C146",0.166872911036157
"A","B","C147",0.120838762603139
"A","B","C148",0.847666613041294
"A","B","C149",0.0345753922756221
"A","B","C150",0.129838877855671
"A","B","C151",0.679559119694931
"A","B","C152",0.148938149967448
"A","B","C153",0.0390232946130107
"A","B","C154",0.0950973481843257
"A","B","C155",0.677204721785671
"A","B","C156",0.141622214063481
"A","B","C157",0.654551989314202
"A","B","C158",0.141802016301475
"A","B","C159",0.184153919905886
"A","B","C160",0.112552205614525
"A","B","C161",0.762372386898112
"A","B","C162",0.0726013022519653
"A","B","C163",0.820657405036172
"A","B","C164",0.859237068114893
"A","B","C165",0.280255529211456
"A","B","C166",0.0402052485389606
"A","B","C167",0.659261162460187
"A","B","C168",0.318107653885071
"A","B","C169",0.197503340322395
"A","B","C170",0.506949522143849
"A","B","C171",0.0443713000595646
"A","B","C172",0.819432060885692
"A","B","C173",0.0237602951814493
"A","B","C174",0.46441231231665
"A","B","C175",0.0184659579282969
"A","B","C176",0.387938850476107
"A","B","C177",0.945203253354817
"A","B","C178",0.895387630234346
"A","B","C179",0.876277850523824
"A","B","C180",0.0606495938748132
"A","B","C181",0.0688224097620207
"A","B","C182",0.156053410384871
"A","B","C183",0.902207512187664
"A","B","C184",0.773228245376463
"A","B","C185",0.0887836362592702
"A","B","C186",0.115827344038952
"A","B","C187",0.827566874360252
"A","B","C188",0.931138027237967
"A","B","C189",0.0779498956176337
"A","B","C190",0.66768953456931
"A","B","C191",0.758902951737215
"A","B","C192",0.547779320501701
"A","B","C193",0.0884932794974016
"A","B","C194",0.0720279568963891
"A","B","C195",0.0730624770863849
"A","B","C196",0.747541278638104
"A","B","C197",0.605508470232822
"A","B","C198",0.906458700007462
"A","B","C199",0.88148903717887
"A","B","C200",0.796353313581677
