"from","to","cell_id","percentage"
"A","B","C1",0.26667983743353
"A","B","C2",0.866093119724843
"A","B","C3",0.238252466314331
"A","B","C4",0.76598923102595
"A","B","C5",0.46861926996733
"A","B","C6",0.0979746438247537
"A","B","C7",0.50579350157167
"A","B","C8",0.163432488013006
"A","B","C9",0.579962402791351
"A","B","C10",0.0405769065261702
"A","B","C11",0.0253956459290221
"A","B","C12",0.197306947677419
"A","B","C13",0.119323742050351
"A","B","C14",0.0198564931448795
"A","B","C15",0.543685041237393
"A","B","C16",0.532442691536975
"A","B","C17",0.828519892982932
"A","B","C18",0.684183777369929
"A","B","C19",0.094423430529661
"A","B","C20",0.326167654016956
"A","B","C21",0.0578504264894437
"A","B","C22",0.126430991874846
"A","B","C23",0.49201915347542
"A","B","C24",0.20391502891484
"A","B","C25",0.701385224232999
"A","B","C26",0.411066349022286
"A","B","C27",0.531149019683383
"A","B","C28",0.979340050482497
"A","B","C29",0.475647316806767
"A","B","C30",0.478144974407056
"A","B","C31",0.0041884297504779
"A","B","C32",0.130217679244603
"A","B","C33",0.129441698127779
"A","B","C34",0.314378780438054
"A","B","C35",0.866874886516252
"A","B","C36",0.228846388723602
"A","B","C37",0.334093536875262
"A","B","C38",0.945725643711586
"A","B","C39",0.247129327102961
"A","B","C40",0.338268834189352
"A","B","C41",0.613225823952623
"A","B","C42",0.563244066620034
"A","B","C43",0.456639560002032
"A","B","C44",0.146323516153969
"A","B","C45",0.927603106800125
"A","B","C46",0.269905264633504
"A","B","C47",0.78848953256552
"A","B","C48",0.606521681802765
"A","B","C49",0.511563392499575
"A","B","C50",0.759689393939654
"A","B","C51",0.646056402941714
"A","B","C52",0.411782902519143
"A","B","C53",0.469595507133289
"A","B","C54",0.566194326652085
"A","B","C55",0.309345314423074
"A","B","C56",0.572267092891478
"A","B","C57",0.0489199607282655
"A","B","C58",0.760603978996435
"A","B","C59",0.562179785470507
"A","B","C60",0.519719136251559
"A","B","C61",0.875097146103215
"A","B","C62",0.558056310628129
"A","B","C63",0
"A","B","C64",0.812164471217892
"A","B","C65",0.77490940284699
"A","B","C66",0.28965132488367
"A","B","C67",0.726677408294253
"A","B","C68",0.800129509757095
"A","B","C69",0.61529596483893
"A","B","C70",0.775934763296269
"A","B","C71",0.075333398666628
"A","B","C72",0.727315124729515
"A","B","C73",0.96808619996663
"A","B","C74",0.530156862938874
"A","B","C75",0.252782900504718
"A","B","C76",0.518486359504138
"A","B","C77",0.398300313555881
"A","B","C78",0.180727871396677
"A","B","C79",0.159897339160526
"A","B","C80",0.0148570770994791
"A","B","C81",0.212542060660743
"A","B","C82",0.243325058223317
"A","B","C83",0.544196012129034
"A","B","C84",0.93095690130017
"A","B","C85",0.893657512391519
"A","B","C86",0.899172874984621
"A","B","C87",0.748253878130398
"A","B","C88",0.282351442389736
"A","B","C89",0.937397027955667
"A","B","C90",0.610196761840955
"A","B","C91",0.739851428140914
"A","B","C92",0.868979134010752
"A","B","C93",0.908479153099288
"A","B","C94",0.96195926343436
"A","B","C95",0.573430674717417
"A","B","C96",0.138282693853366
"A","B","C97",0.279262030334449
"A","B","C98",0.917257919750378
"A","B","C99",0.279467396735264
"A","B","C100",0.750415411595127
"A","B","C101",0.789494965717696
"A","B","C102",0.669010899813768
"A","B","C103",0.870342493796229
"A","B","C104",0.564598551418387
"A","B","C105",0.863780524930609
"A","B","C106",0.27001677354032
"A","B","C107",0.038765596377507
"A","B","C108",0.093829607003425
"A","B","C109",0.724295246520311
"A","B","C110",0.605822635107528
"A","B","C111",0.457419048047354
"A","B","C112",0.796538441242205
"A","B","C113",0.183388809153299
"A","B","C114",0.937110322800106
"A","B","C115",0.10490273594047
"A","B","C116",0.597419286303051
"A","B","C117",0.178039966625379
"A","B","C118",0.868941512611067
"A","B","C119",0.569717202791155
"A","B","C120",0.981176838370144
"A","B","C121",0.683301536532429
"A","B","C122",0.0911211081115333
"A","B","C123",0.905667171377318
"A","B","C124",0.806439245334749
"A","B","C125",0.529995007732849
"A","B","C126",0.697524515497927
"A","B","C127",0.185893595385241
"A","B","C128",0.207259039841132
"A","B","C129",0.494497510112007
"A","B","C130",0.0928114761823344
"A","B","C131",0.851717258457868
"A","B","C132",0.389980457230742
"A","B","C133",0.772216970969124
"A","B","C134",0.383973201532583
"A","B","C135",0.521049078630291
"A","B","C136",0.928058333881033
"A","B","C137",0.552222445435373
"A","B","C138",0.690625497210655
"A","B","C139",0.123773329372959
"A","B","C140",0.138103077610574
"A","B","C141",0.520234708059975
"A","B","C142",0.48435829983067
"A","B","C143",0.859781399220845
"A","B","C144",0.417765202609664
"A","B","C145",0.161780187182288
"A","B","C146",0.575848829549961
"A","B","C147",0.903029954666913
"A","B","C148",0.450389124655409
"A","B","C149",0.788758663956379
"A","B","C150",0.191050695792057
"A","B","C151",0.625187257199989
"A","B","C152",0.93904973871194
"A","B","C153",0.862058809634717
"A","B","C154",0.400615546008567
"A","B","C155",0.433545367296324
"A","B","C156",0.738057781535198
"A","B","C157",0.441787797389543
"A","B","C158",0.64642367774125
"A","B","C159",0.712896715815954
"A","B","C160",0.922039223617913
"A","B","C161",0.125948179006298
"A","B","C162",0.332051994147998
"A","B","C163",0.829376964412551
"A","B","C164",0.835223672534508
"A","B","C165",0.308912865007777
"A","B","C166",0.480456037917981
"A","B","C167",0.786498592064205
"A","B","C168",0.778662743483744
"A","B","C169",0.746680514862441
"A","B","C170",0.0475585827613001
"A","B","C171",0.501753182041241
"A","B","C172",0.122832315228654
"A","B","C173",0.87115586695692
"A","B","C174",0.422473321306666
"A","B","C175",0.420960409282323
"A","B","C176",0.47287567883373
"A","B","C177",0.198141347853068
"A","B","C178",0.145815585060527
"A","B","C179",0.900781636438218
"A","B","C180",0.84943005910522
"A","B","C181",0.168345368126787
"A","B","C182",0.53709437218461
"A","B","C183",0.735310357334608
"A","B","C184",0.0443082138361105
"A","B","C185",0.16508481115104
"A","B","C186",0.861202020137584
"A","B","C187",0.187661049027679
"A","B","C188",0.375585590822654
"A","B","C189",0.0937447574072227
"A","B","C190",0.445760048953223
"A","B","C191",1
"A","B","C192",0.711980974519187
"A","B","C193",0.245158962826489
"A","B","C194",0.66991735713866
"A","B","C195",0.512510787302456
"A","B","C196",0.689013209046684
"A","B","C197",0.758789761806221
"A","B","C198",0.455423524298622
"A","B","C199",0.644194758464031
"A","B","C200",0.36773272192538
