"from","to","cell_id","percentage"
"A","B","C1",0.266113577982697
"A","B","C2",0.333537291802769
"A","B","C3",0.114509125109707
"A","B","C4",0.869208168906354
"A","B","C5",0.645128175841115
"A","B","C6",0.799262152249483
"A","B","C7",0.905623127466784
"A","B","C8",0.141659768760706
"A","B","C9",0.627654423688442
"A","B","C10",0.857190477350685
"A","B","C11",0.358472667540339
"A","B","C12",0.618565558433578
"A","B","C13",0.859458269013157
"A","B","C14",0.658712346705646
"A","B","C15",0.885325491657642
"A","B","C16",0.120453723500312
"A","B","C17",0.807256473565357
"A","B","C18",0.582940772342779
"A","B","C19",0.786273382828838
"A","B","C20",0.574252853454551
"A","B","C21",0.658612811353608
"A","B","C22",0.808501019031754
"A","B","C23",0.168622111789037
"A","B","C24",0.0915476935073488
"A","B","C25",0.165036768286702
"A","B","C26",0.188536760402232
"A","B","C27",0.794812046920986
"A","B","C28",0.868362802403823
"A","B","C29",0.68640655191978
"A","B","C30",0.838496888821862
"A","B","C31",0.450493323055639
"A","B","C32",0.552863076078903
"A","B","C33",0.349505993793077
"A","B","C34",0.155002493654904
"A","B","C35",0.263874196030857
"A","B","C36",0.567769563685973
"A","B","C37",0.301946670496227
"A","B","C38",0.707887662957769
"A","B","C39",0.246096616902912
"A","B","C40",0.485508543742916
"A","B","C41",0.696863914245857
"A","B","C42",0.213647300374379
"A","B","C43",0.772154636288177
"A","B","C44",0.242090967897906
"A","B","C45",0.769913999974069
"A","B","C46",0.76171567982219
"A","B","C47",0.420822441188237
"A","B","C48",0.79111235471443
"A","B","C49",0.34240875956717
"A","B","C50",0.838356805276502
"A","B","C51",0.185872063924476
"A","B","C52",0.0885975704514084
"A","B","C53",0.910229427107953
"A","B","C54",0.244490416950097
"A","B","C55",0.19577831511157
"A","B","C56",0.544480479776035
"A","B","C57",0.96800290811074
"A","B","C58",0.829298608550285
"A","B","C59",0.430636967846315
"A","B","C60",0.456302298305691
"A","B","C61",0.931645700741203
"A","B","C62",0.846127223329209
"A","B","C63",0.661710743061614
"A","B","C64",0.828727698127757
"A","B","C65",0.306120146214198
"A","B","C66",0.949359047161616
