cell_id,percentage,from,to
C1,0.23043026410539416,A,B
C2,0.15374028102378984,A,B
C3,0.9627530648766328,A,B
C4,0.0811707632411559,A,B
C5,0.24781247881758858,A,B
C6,0.30132504562310153,A,B
C7,0.2876437074768817,A,B
C8,0.1923321647657388,A,B
C9,0.1827380770214522,A,B
C10,0.15984630127107397,A,B
C11,0.06293815271300139,A,B
C12,0.9638398316992329,A,B
C13,0.17087121213041356,A,B
C14,0.22384692573003936,A,B
C15,0.9657339544809429,A,B
C16,0.5499102010677217,A,B
C17,0.2881923781705101,A,B
C18,0.26689140742222656,A,B
C19,0.9068486391468454,A,B
C20,0.19075150020380058,A,B
C21,0.3323282837609368,A,B
C22,0.054034980530667166,A,B
C23,0.18039747389770147,A,B
C24,0.8936472998036614,A,B
C25,0.6081584538353352,A,B
C26,0.6725053401508687,A,B
C27,0.3248655019241639,A,B
C28,0.15934064610412768,A,B
C29,0.8311963645578331,A,B
C30,0.27965896928915707,A,B
C31,0.03772023994242979,A,B
C32,0.1250016841652444,A,B
C33,0.032838491627150294,A,B
C34,0.2812239897825474,A,B
C35,0.11137045313636502,A,B
C36,0.391001432184681,A,B
C37,0.021463079762390404,A,B
C38,0.0,A,B
C39,0.730777916228695,A,B
C40,0.6272700869066544,A,B
C41,0.25263514183833163,A,B
C42,0.1570757704103864,A,B
C43,0.04863115672807909,A,B
C44,0.05678779615853845,A,B
C45,0.2559316159734957,A,B
C46,0.23102476291961282,A,B
C47,0.2168104830812023,A,B
C48,0.30185387568967664,A,B
C49,0.2813668448098646,A,B
C50,0.6598830190673866,A,B
C51,0.27077833732534357,A,B
C52,0.11099182553535271,A,B
C53,0.1671458404128485,A,B
C54,0.5772023150621303,A,B
C55,0.942818436176304,A,B
C56,0.8564303251642656,A,B
C57,0.14280301098897102,A,B
C58,0.9668743816666068,A,B
C59,0.8811752749291603,A,B
C60,0.2102216376989103,A,B
C61,0.23507705194645787,A,B
C62,0.22337105466293763,A,B
C63,0.2604615022841234,A,B
C64,0.2540917184880664,A,B
C65,0.09297020904594683,A,B
C66,0.24052791589805736,A,B
C67,0.012531252088637947,A,B
C68,0.30223057596686753,A,B
C69,0.6887235068855547,A,B
C70,0.2530059278935612,A,B
C71,0.8450964648962055,A,B
C72,0.9731046755946575,A,B
C73,0.09771196023675635,A,B
C74,0.3337229676431478,A,B
C75,0.9402253915247227,A,B
C76,0.9788456263970468,A,B
C77,0.9401900763735245,A,B
C78,0.32127603427130275,A,B
C79,0.1923270849943105,A,B
C80,0.07602022285396351,A,B
C81,0.22657753876043532,A,B
C82,0.23673595929016691,A,B
C83,0.9711607051607242,A,B
C84,0.293146514842245,A,B
C85,0.2691908497514946,A,B
C86,0.9893394015368103,A,B
C87,0.3010243372453336,A,B
C88,0.9108912042987577,A,B
C89,0.22771591300385619,A,B
C90,0.24398003765933637,A,B
C91,0.10810988024766911,A,B
C92,0.07255451814859395,A,B
C93,0.17001440198489481,A,B
C94,0.2181048722883653,A,B
C95,0.3298452678620994,A,B
C96,0.8831898091683359,A,B
C97,0.9648573118474616,A,B
C98,0.20746618681246867,A,B
C99,0.15664769608330417,A,B
C100,0.04452807092519972,A,B
C101,0.6775312911260538,A,B
C102,0.9889395608759214,A,B
C103,0.27349435223747937,A,B
C104,0.9724434465899564,A,B
C105,0.49620799563454726,A,B
C106,0.8711898822962086,A,B
C107,0.41961218827616426,A,B
C108,0.1817999567071964,A,B
C109,0.02152559365939492,A,B
C110,0.08240342900786254,A,B
C111,0.9687479216368858,A,B
C112,0.185199532306721,A,B
C113,0.050589741644234694,A,B
C114,0.17553174346547734,A,B
C115,0.8588555623538123,A,B
C116,0.19725541926487858,A,B
C117,0.549014096342968,A,B
C118,0.791233117531932,A,B
C119,0.1157351381411136,A,B
C120,0.24537910125813797,A,B
C121,0.9319390698497049,A,B
C122,0.22373480266908793,A,B
C123,0.1755241549297916,A,B
C124,0.8945949637211322,A,B
C125,0.9267373302528055,A,B
C126,1.0,A,B
C127,0.9680677235873272,A,B
C128,0.9773021466616136,A,B
C129,0.27727470783891656,A,B
C130,0.9802959435247961,A,B
C131,0.1332780626625665,A,B
C132,0.7869926065937376,A,B
C133,0.2725328337695602,A,B
C134,0.2390877279537897,A,B
C135,0.1814809502683145,A,B
C136,0.9956710483624893,A,B
C137,0.23229919225913045,A,B
C138,0.24104042252929866,A,B
C139,0.7620360373193705,A,B
C140,0.15666171653823693,A,B
C141,0.08568594953700515,A,B
C142,0.22580269531751368,A,B
C143,0.010512114740040037,A,B
C144,0.12155584263791243,A,B
C145,0.9534350349651156,A,B
C146,0.278120246222954,A,B
C147,0.22275271041812947,A,B
C148,0.05546689378501757,A,B
C149,0.20042191683640906,A,B
C150,0.1321482394847716,A,B
C151,0.24614249374913735,A,B
C152,0.9672734742209307,A,B
C153,0.8559326535374291,A,B
C154,0.30707777230274874,A,B
C155,0.32642603345053794,A,B
C156,0.3016079479392921,A,B
C157,0.1685170379805316,A,B
C158,0.07128652409215237,A,B
C159,0.21204828324864664,A,B
C160,0.09578938968807084,A,B
C161,0.5724122228588522,A,B
C162,0.08847784334937417,A,B
C163,0.10748312131438303,A,B
C164,0.9083049131961105,A,B
C165,0.018270599070037013,A,B
C166,0.16836419757862228,A,B
C167,0.9245314280310102,A,B
C168,0.19630383531605566,A,B
C169,0.10777041630652612,A,B
C170,0.05295899740982665,A,B
C171,0.127670643278254,A,B
C172,0.29547699155123286,A,B
C173,0.12622592975288519,A,B
C174,0.9756839759374747,A,B
C175,0.18498422247920396,A,B
C176,0.13211239904293787,A,B
C177,0.5079748542036343,A,B
C178,0.21709615910087374,A,B
C179,0.2156384402714682,A,B
C180,0.1705737850001511,A,B
C181,0.6859250510038092,A,B
C182,0.041320155933489804,A,B
C183,0.08621983501511797,A,B
C184,0.30203712473008953,A,B
C185,0.205338621198749,A,B
C186,0.9264290902780755,A,B
C187,0.9851840161851173,A,B
C188,0.03333025768767848,A,B
C189,0.780021385583447,A,B
C190,0.14854517818239285,A,B
C191,0.9298796349688899,A,B
C192,0.9314025139876846,A,B
C193,0.22267012407149644,A,B
C194,0.040908642845060295,A,B
C195,0.967953411308301,A,B
C196,0.23889210850654305,A,B
C197,0.32236316517615987,A,B
C198,0.10122353069930357,A,B
C199,0.19859901513165792,A,B
C200,0.3071934859716095,A,B
