cell_id,percentage,from,to
C1,0.06228135579662937,A,B
C2,0.397875512234977,A,B
C3,0.8913468253422647,A,B
C4,0.06356399174086795,A,B
C5,0.9411450823807703,A,B
C6,0.2111105675162461,A,B
C7,0.057707671795313026,A,B
C8,0.8739937669357577,A,B
C9,0.024890797275456886,A,B
C10,0.9605649797126893,A,B
C11,0.05400151467611971,A,B
C12,0.84286494640977,A,B
C13,0.04036174979419044,A,B
C14,0.1185953821832116,A,B
C15,0.43181823165137484,A,B
C16,0.9593698778571962,A,B
C17,0.9558255414785197,A,B
C18,0.023443275853343278,A,B
C19,0.3124410696187667,A,B
C20,0.24793739971507667,A,B
C21,0.9774892443240761,A,B
C22,0.031227472376306423,A,B
C23,0.9066183140242635,A,B
C24,0.13100363573522045,A,B
C25,0.017733424164567805,A,B
C26,0.1935084944975139,A,B
C27,0.03657360383748964,A,B
C28,0.08937803311528658,A,B
C29,0.9846090274471814,A,B
C30,0.03512718885365044,A,B
C31,0.16620393368603747,A,B
C32,0.04973748804407728,A,B
C33,0.2989934941645726,A,B
C34,0.18726478560041598,A,B
C35,0.7843998287752999,A,B
C36,0.47593042323055695,A,B
C37,0.09582046733442742,A,B
C38,0.5789095448512663,A,B
C39,0.242367803694871,A,B
C40,0.37902157263829506,A,B
C41,0.958742249571668,A,B
C42,0.641534942665303,A,B
C43,0.9092634471236345,A,B
C44,0.092273972629629,A,B
C45,0.03002233014756989,A,B
C46,0.8696961199366134,A,B
C47,0.8665906921759989,A,B
C48,0.6633449335533387,A,B
C49,0.09705254396028758,A,B
C50,0.40297376894012255,A,B
C51,0.5873143710465376,A,B
C52,0.40176665579779985,A,B
C53,0.06380037208523658,A,B
C54,0.391477172672776,A,B
C55,0.09353471695847043,A,B
C56,0.2404773626803034,A,B
C57,0.03121084143371082,A,B
C58,0.12843626672874123,A,B
C59,0.14825326143722475,A,B
C60,0.26582103486683084,A,B
C61,0.1173222007823453,A,B
C62,0.07974832529563279,A,B
C63,0.9569276539009788,A,B
