cell_id,percentage,from,to
C1,0.0764112130182559,A,B
C2,0.03200739268556395,A,B
C3,0.9302646471340527,A,B
C4,0.8908050642068839,A,B
C5,0.7164462985196653,A,B
C6,0.6330983581412881,A,B
C7,0.8229392446987575,A,B
C8,0.03897711604604674,A,B
C9,0.9737817255248158,A,B
C10,0.48168724876042246,A,B
C11,0.9804097107543734,A,B
C12,0.07528199724626672,A,B
C13,0.9138336824421602,A,B
C14,0.09760064043892164,A,B
C15,0.09646827016498409,A,B
C16,0.059226620241593614,A,B
C17,0.5204554254862077,A,B
C18,0.03335665344266577,A,B
C19,0.8890410082279055,A,B
C20,0.8659815522302827,A,B
C21,0.33032569296456454,A,B
C22,0.06854671635779253,A,B
C23,0.06671779761490637,A,B
C24,0.29720008903628475,A,B
C25,0.5825614341168716,A,B
C26,0.9086826149712971,A,B
C27,0.4338247581568893,A,B
C28,0.33540205470979517,A,B
C29,1.0,A,B
C30,0.029458867010841428,A,B
C31,0.01729402697142366,A,B
C32,0.09854332340250344,A,B
C33,0.29681029119800656,A,B
C34,0.9641819215520063,A,B
C35,0.06153792404616987,A,B
C36,0.8679256521966852,A,B
C37,0.6589802006708302,A,B
C38,0.6703016264107795,A,B
C39,0.9326900198221372,A,B
C40,0.13364255277681467,A,B
C41,0.8091957000275362,A,B
C42,0.8577350060618605,A,B
C43,0.9484456223859102,A,B
C44,0.05300248413448896,A,B
C45,0.05869712122419794,A,B
C46,0.047091660368062005,A,B
C47,0.08246778896668716,A,B
C48,0.7520316896403015,A,B
C49,0.06279398824204278,A,B
C50,0.8844546309533666,A,B
C51,0.5060892657275955,A,B
C52,0.03649796968666177,A,B
C53,0.14182523306993536,A,B
C54,0.8888682900943228,A,B
C55,0.12103804188190076,A,B
C56,0.08357831679561672,A,B
C57,0.8858915666914436,A,B
C58,0.04681569528752767,A,B
C59,0.08583538756873782,A,B
C60,0.05011092759562989,A,B
C61,0.9700643163316852,A,B
C62,0.4646385016061075,A,B
C63,0.1303290212413826,A,B
C64,0.057621908446066454,A,B
C65,0.9055801458785092,A,B
C66,0.1345724851496439,A,B
C67,0.6886535645281548,A,B
C68,0.9449669483175156,A,B
C69,0.805154381540381,A,B
C70,0.9206866546026119,A,B
C71,0.5036856063234438,A,B
C72,0.948909103532229,A,B
C73,0.04836115420107137,A,B
C74,0.9661038694308155,A,B
C75,0.033379034782886445,A,B
C76,0.8348429495522396,A,B
C77,0.9195089105478732,A,B
C78,0.08987997688308944,A,B
C79,0.5015077646941991,A,B
C80,0.08972531948593153,A,B
C81,0.9565423311128672,A,B
C82,0.8682343949101229,A,B
C83,0.8403271766539511,A,B
C84,0.10507795056795428,A,B
C85,0.8621095119175073,A,B
C86,0.9611871486272064,A,B
C87,0.03639027556193787,A,B
C88,0.07767609188623296,A,B
C89,0.9038476964178208,A,B
C90,0.6865194937770713,A,B
C91,0.914146671769109,A,B
C92,0.9673972258460647,A,B
C93,0.6187373020746608,A,B
C94,0.6643391376944932,A,B
C95,0.6721005401160322,A,B
C96,0.5131660653597204,A,B
C97,0.27035886240621504,A,B
C98,0.9097312610502283,A,B
C99,0.4967515766983848,A,B
C100,0.0325028347154463,A,B
C101,0.5213312402946062,A,B
C102,0.08031938333232902,A,B
C103,0.024263475539754966,A,B
C104,0.8746136390976217,A,B
C105,0.03910912680720043,A,B
C106,0.8497199179469179,A,B
C107,0.012580850701212109,A,B
C108,0.9742812719126125,A,B
C109,0.8999843515577824,A,B
C110,0.0639862691564475,A,B
C111,0.880527029392026,A,B
C112,0.2538526541911665,A,B
C113,0.05333774656284463,A,B
C114,0.9517790793968003,A,B
C115,0.9132032259784819,A,B
C116,0.051712971081756494,A,B
C117,0.0902133843609924,A,B
C118,0.050069676723566665,A,B
C119,0.02247963319781206,A,B
C120,0.031004307400400534,A,B
C121,0.8258629874330933,A,B
C122,0.898534682681856,A,B
C123,0.863587828507223,A,B
C124,0.9729301226097552,A,B
C125,0.03730159640113943,A,B
C126,0.8836754368492665,A,B
C127,0.6137516214187587,A,B
C128,0.897081157924945,A,B
C129,0.5679736816406921,A,B
C130,0.6754908410912609,A,B
C131,0.09658073975684185,A,B
C132,0.1643281920628084,A,B
C133,0.07497597403300801,A,B
C134,0.6363960830494937,A,B
C135,0.03651593507285907,A,B
C136,0.9436171268599728,A,B
C137,0.06392665576162002,A,B
C138,0.4576851435203027,A,B
C139,0.031965633759111475,A,B
C140,0.8779393767536616,A,B
C141,0.9426730584553631,A,B
C142,0.7544207501637935,A,B
C143,0.012787128974621333,A,B
C144,0.13404224118676417,A,B
C145,0.01604834918203392,A,B
C146,0.4901760386011437,A,B
C147,0.9764806935234517,A,B
C148,0.9041220194472485,A,B
C149,0.9731904182441726,A,B
C150,0.8402874208295984,A,B
C151,0.17008931532791413,A,B
C152,0.6636784123705166,A,B
C153,0.060533373862889484,A,B
C154,0.04823802070521466,A,B
C155,0.07445795305294345,A,B
C156,0.054276796499708624,A,B
C157,0.8264646163256523,A,B
C158,0.06945510884093205,A,B
C159,0.32423133323723363,A,B
C160,0.5525562252667842,A,B
C161,0.5650563294615556,A,B
C162,0.05964780831868482,A,B
C163,0.6336264805793641,A,B
C164,0.9172494930307532,A,B
C165,0.9798444329945925,A,B
C166,0.06969641098596553,A,B
C167,0.9442457005421718,A,B
C168,0.08127262718824882,A,B
C169,0.12205615457705192,A,B
C170,0.4168307296967377,A,B
C171,0.6560183193005896,A,B
C172,0.884963863766887,A,B
C173,0.6916696301822863,A,B
C174,0.43081938859489083,A,B
C175,0.08351336990203112,A,B
C176,0.478771132066619,A,B
C177,0.8606171008262288,A,B
C178,0.8954849322912247,A,B
C179,0.70506377649373,A,B
C180,0.5839145310441878,A,B
C181,0.5794641169956375,A,B
C182,0.050720629772114764,A,B
C183,0.0853353165466366,A,B
C184,0.49667795887986715,A,B
C185,0.911062995469891,A,B
C186,0.631766686234002,A,B
C187,0.0,A,B
C188,0.842578552210523,A,B
C189,0.8356854063422561,A,B
C190,0.8413139414014464,A,B
C191,0.958733534812799,A,B
C192,0.7150421790445847,A,B
C193,0.12319934229846911,A,B
C194,0.08062709656967135,A,B
C195,0.43567217416768345,A,B
C196,0.19254987505280508,A,B
C197,0.0372404650521522,A,B
C198,0.8267936120938236,A,B
C199,0.088676847577624,A,B
