cell_id,percentage,from,to
C1,0.34376993483370444,A,B
C10,0.0,A,B
C100,0.3591617738174867,A,B
C101,0.319448055794254,A,B
C102,0.25893284141436657,A,B
C103,0.3569356550192932,A,B
C104,0.351008131698155,A,B
C105,0.3676453574833905,A,B
C106,0.296902166972489,A,B
C107,0.40586300284259796,A,B
C108,0.32152960115936513,A,B
C109,0.6672739882465438,A,B
C11,0.35823134183821376,A,B
C110,0.37283155773452337,A,B
C111,0.3106804011275215,A,B
C112,0.3104781576891596,A,B
C113,0.6036368017030269,A,B
C114,0.5584709523535198,A,B
C115,0.37704139043713064,A,B
C116,0.5527157633922174,A,B
C117,0.3343053294826342,A,B
C118,0.32330225908685645,A,B
C119,0.3572033557598284,A,B
C12,0.5443491991133341,A,B
C120,0.3542254013620005,A,B
C121,0.5928127946218885,A,B
C122,0.3349399041386205,A,B
C123,0.35524870572699463,A,B
C124,0.305454270786081,A,B
C125,0.358257737160698,A,B
C126,0.3511926766742624,A,B
C127,0.7330945170425281,A,B
C128,0.24405795949301737,A,B
C129,0.33710725297511235,A,B
C13,0.34630045428769135,A,B
C130,0.33865563575876273,A,B
C131,0.3122929089025261,A,B
C132,0.6452278019364673,A,B
C133,0.3187951988009111,A,B
C134,0.35376699312484056,A,B
C135,0.6164622152729141,A,B
C136,0.33403302908865495,A,B
C137,0.4322672537364934,A,B
C138,0.3639225987343695,A,B
C139,0.3616315725865805,A,B
C14,0.818770862049942,A,B
C140,0.33735080190415456,A,B
C141,0.5749455973411522,A,B
C142,0.3584040932417187,A,B
C143,0.4429435896195774,A,B
C144,0.5179926118203256,A,B
C145,0.5755650511554954,A,B
C146,0.35217801959214257,A,B
C147,0.3650077108866451,A,B
C148,0.2749502661562182,A,B
C149,0.5809133969782828,A,B
C15,0.17623096027340215,A,B
C150,0.31120729658009205,A,B
C151,0.31145014110778857,A,B
C152,0.363815040074084,A,B
C153,0.35869331046823,A,B
C154,0.7509964604736712,A,B
C155,0.3541707894483144,A,B
C156,0.342243878667213,A,B
C157,0.31851665284614983,A,B
C158,0.3628783793696399,A,B
C159,0.5632586081684756,A,B
C16,0.38580232578001655,A,B
C160,0.48097028933187097,A,B
C161,0.3235396018263017,A,B
C162,0.33061552242426684,A,B
C163,0.37324754156356776,A,B
C164,0.2819123614607784,A,B
C165,0.2528182750331653,A,B
C166,0.5793368635236322,A,B
C167,0.3634540839259018,A,B
C168,0.3606098057304698,A,B
C169,0.6019447584884202,A,B
C17,0.3376993389061237,A,B
C170,0.322552353095103,A,B
C171,0.345916405639606,A,B
C172,0.33392087714943264,A,B
C173,0.7360476147612186,A,B
C174,0.2844964910783935,A,B
C175,0.6315657840355295,A,B
C176,0.5808857409172079,A,B
C177,0.3262565696206519,A,B
C178,0.3471583143379454,A,B
C179,0.34800144110568065,A,B
C18,0.5412868081334345,A,B
C180,0.4119318653050618,A,B
C181,0.3332282481138795,A,B
C182,0.7920840389503733,A,B
C183,0.32225886594355324,A,B
C184,0.33763575241700594,A,B
C185,0.3895332000192786,A,B
C186,0.3207707592691582,A,B
C187,0.3681559572839667,A,B
C188,0.3497747615092534,A,B
C189,0.3772373523777477,A,B
C19,0.5152249864452455,A,B
C190,0.35173170901855705,A,B
C191,0.35228906124877285,A,B
C192,0.3114241250409441,A,B
C193,0.34825183826036493,A,B
C194,0.33727255197734773,A,B
C195,0.32359071728404076,A,B
C196,0.3453277419240554,A,B
C197,0.5123049855172134,A,B
C198,0.3531891390956166,A,B
C199,0.3159507523032966,A,B
C2,0.35302053281672074,A,B
C20,0.11356978283967925,A,B
C200,0.36955128010518734,A,B
C201,0.625917214496095,A,B
C202,0.33732248234392287,A,B
C203,0.40448914843507006,A,B
C204,0.32858606556913567,A,B
C205,0.34086417150237036,A,B
C206,0.38779426531477285,A,B
C207,0.6048016016302895,A,B
C208,0.33524629038566056,A,B
C209,0.5235961365697149,A,B
C21,0.30498068406551926,A,B
C210,0.34350670880883144,A,B
C211,0.33319320301111155,A,B
C212,0.36918343996130165,A,B
C213,0.33936821297313663,A,B
C214,0.3340805846869894,A,B
C215,0.3469603071924316,A,B
C216,0.5928412274544715,A,B
C217,0.5978892756074725,A,B
C218,0.3067728775629316,A,B
C219,0.34035409059622757,A,B
C22,0.2822768615690655,A,B
C220,0.3398007143499413,A,B
C221,0.33975317617575995,A,B
C222,0.5652193871995792,A,B
C223,0.6843497056130589,A,B
C224,0.580497213221419,A,B
C225,0.33579583698545384,A,B
C226,0.35588480400972955,A,B
C227,0.2067042977096784,A,B
C228,0.334654718044775,A,B
C229,0.5094993203038116,A,B
C23,0.3102541281875992,A,B
C230,0.6196510336518072,A,B
C231,0.30670153590322374,A,B
C232,0.3463909496992613,A,B
C233,0.32202880617458773,A,B
C234,0.8761413990991708,A,B
C235,0.4336265696668484,A,B
C236,0.3242156219992766,A,B
C237,0.14477314178878517,A,B
C238,0.3605855098908599,A,B
C239,0.3037120147725414,A,B
C24,0.36039814493026345,A,B
C240,0.33283360284099206,A,B
C241,0.31242139603833036,A,B
C242,0.5179238821342749,A,B
C243,0.449619854824147,A,B
C244,0.5930008084718086,A,B
C245,0.3185396430284581,A,B
C246,0.34501410191708776,A,B
C247,0.3547827165741585,A,B
C248,0.34879604753273175,A,B
C249,0.6077805210012537,A,B
C25,0.4291071118674785,A,B
C250,0.8538132492271149,A,B
C251,0.5369814520332056,A,B
C252,0.5680806761732173,A,B
C253,0.3228853152983894,A,B
C254,0.3352693088896928,A,B
C255,0.42852449960169475,A,B
C256,0.686827177023072,A,B
C257,0.3587935879628696,A,B
C258,0.29236724032415273,A,B
C259,0.37640897309349225,A,B
C26,0.575030477742602,A,B
C260,0.3230552099289433,A,B
C261,0.5015965697651904,A,B
C262,0.3712299984394295,A,B
C263,0.3482997920380761,A,B
C264,0.2698676445847333,A,B
C265,0.5502021817334024,A,B
C266,0.5578835225955461,A,B
C267,0.34996812624628715,A,B
C268,0.3522112465968917,A,B
C269,0.6044593295711284,A,B
C27,0.3237375331842581,A,B
C270,0.36044757457450316,A,B
C271,0.5535656476528718,A,B
C272,0.48630712777181073,A,B
C273,0.3512981422444524,A,B
C274,0.7308697514031545,A,B
C275,0.5619631698376109,A,B
C276,0.3770526221723617,A,B
C277,0.33928096209468833,A,B
C278,0.3588408960019631,A,B
C279,0.33030960216406424,A,B
C28,0.32702428267130745,A,B
C280,0.31950558333555706,A,B
C281,0.367787360590569,A,B
C282,0.33885055490231614,A,B
C283,0.6156305351505986,A,B
C284,0.5055663102357653,A,B
C285,0.37294541104152273,A,B
C286,0.325616010917245,A,B
C287,0.7395366236024719,A,B
C288,0.3503220127831061,A,B
C289,0.3381275150883577,A,B
C29,0.8054199853064106,A,B
C290,0.3729203883023854,A,B
C291,0.3740446200674176,A,B
C292,0.2705231102086224,A,B
C293,0.3579202480699486,A,B
C294,0.4025728069642825,A,B
C295,0.3762268873958962,A,B
C296,0.3306985391366128,A,B
C297,0.5238045279706611,A,B
C298,0.30916123940597845,A,B
C299,0.3464443016330917,A,B
C3,0.34743434932841794,A,B
C30,0.8414851512879153,A,B
C300,0.5900965908795699,A,B
C301,0.5678251117756047,A,B
C302,0.5188073021478611,A,B
C303,0.35623147082242057,A,B
C304,0.7308574165401044,A,B
C305,0.3189297448568891,A,B
C306,0.35627301002561745,A,B
C307,0.3203692150527225,A,B
C308,0.37698193950982245,A,B
C309,0.3541384869463481,A,B
C31,0.37033308414966,A,B
C310,0.4105709580451979,A,B
C311,0.48099076860192935,A,B
C312,0.36858108261244354,A,B
C313,0.3821178022547139,A,B
C314,0.8528203634134126,A,B
C315,0.34346441894075724,A,B
C316,0.32039799416109116,A,B
C317,0.3475772224388792,A,B
C318,0.36809836886100744,A,B
C319,0.3481615689957184,A,B
C32,0.37174357834324906,A,B
C320,0.3079059684027494,A,B
C321,0.3167151347717299,A,B
C322,0.5953069985524105,A,B
C323,0.6028228301804038,A,B
C324,0.29822406991628503,A,B
C325,0.30247161125683486,A,B
C326,0.316013460475152,A,B
C327,0.34621649503857355,A,B
C328,0.6655663960008202,A,B
C329,0.34572230764958867,A,B
C33,0.31283413005883864,A,B
C330,0.8780485140413041,A,B
C331,0.3537217531746455,A,B
C332,0.5161915929753987,A,B
C333,0.29369814381216625,A,B
C334,0.306260535606283,A,B
C335,0.58171140758472,A,B
C336,0.5530428594360163,A,B
C337,0.3017973679499515,A,B
C338,0.5379260852632284,A,B
C339,0.7067663307758566,A,B
C34,0.32923519786624206,A,B
C340,0.515068316835245,A,B
C341,0.3262554061689453,A,B
C342,0.31846910143105306,A,B
C343,0.21444168964940524,A,B
C344,0.3358394826150523,A,B
C345,0.34035475928790143,A,B
C346,0.3482663732666154,A,B
C347,0.7528032684504682,A,B
C348,0.5573170537075495,A,B
C349,0.22753388540134714,A,B
C35,0.8500933814318243,A,B
C350,0.5797717413717641,A,B
C351,0.323070196673602,A,B
C352,0.38192514734047417,A,B
C353,0.32544365992194524,A,B
C354,0.37126606836313963,A,B
C355,0.33345113120074404,A,B
C356,0.35046402896568896,A,B
C357,0.258342339635697,A,B
C358,0.3280018421014364,A,B
C359,0.3576477774262374,A,B
C36,0.3148880364236545,A,B
C360,0.3488206849212133,A,B
C361,0.6356102284425301,A,B
C362,0.3291892611328941,A,B
C363,0.7759815885310403,A,B
C364,0.5624111060872025,A,B
C365,0.3334307375970903,A,B
C366,0.611317152200493,A,B
C367,0.32062164068221727,A,B
C368,0.35517082840484976,A,B
C369,0.47285083559726443,A,B
C37,0.3389033473743645,A,B
C370,0.38028017929056956,A,B
C371,0.3314603341395787,A,B
C372,0.3222663232032002,A,B
C373,0.7486879133003783,A,B
C374,0.33964618457283724,A,B
C375,0.31034619432063726,A,B
C376,0.3376977918735949,A,B
C377,0.5814171262176697,A,B
C378,0.8196037482487523,A,B
C379,0.6857036027168775,A,B
C38,0.35434714884753854,A,B
C380,0.5132473482748174,A,B
C381,0.3174896321756848,A,B
C382,0.31310142164819277,A,B
C383,0.29477763220398706,A,B
