"from","to","cell_id","percentage"
"A","B","young_LT_HSC_10",0.000319422841914838
"A","B","young_LT_HSC_101",0.000401127115920024
"A","B","young_LT_HSC_102",0.000415858334966044
"A","B","young_LT_HSC_104",0.00093525471314459
"A","B","young_LT_HSC_107",0.000332605142111586
"A","B","young_LT_HSC_108",0.00101436099000466
"A","B","young_LT_HSC_109",0.000347173344385899
"A","B","young_LT_HSC_11",0.000924578060403017
"A","B","young_LT_HSC_110",0.00126883250602786
"A","B","young_LT_HSC_111",0.000444667470197695
"A","B","young_LT_HSC_112",0.000343937637805835
"A","B","young_LT_HSC_113",0.0017827687730304
"A","B","young_LT_HSC_114",0.000459118183413427
"A","B","young_LT_HSC_115",0.000367057255451112
"A","B","young_LT_HSC_116",0.00122515272808624
"A","B","young_LT_HSC_117",0.000442877048892416
"A","B","young_LT_HSC_118",0.000300427911506255
"A","B","young_LT_HSC_119",0.000341769694620226
"A","B","young_LT_HSC_12",0.00341545240504273
"A","B","young_LT_HSC_121",0.000546604711749571
"A","B","young_LT_HSC_122",0.000322108071658845
"A","B","young_LT_HSC_123",0.000984340427734265
"A","B","young_LT_HSC_125",0.000313269580083444
"A","B","young_LT_HSC_126",0.000431135244442871
"A","B","young_LT_HSC_127",0.00226696330773923
"A","B","young_LT_HSC_128",0.00074554764590831
"A","B","young_LT_HSC_129",0.00351431171907475
"A","B","young_LT_HSC_130",0.000337669305274894
"A","B","young_LT_HSC_131",0.000419802496798709
"A","B","young_LT_HSC_132",0.00306684002500514
"A","B","young_LT_HSC_133",0.00043276998381703
"A","B","young_LT_HSC_134",0.000368005493260081
"A","B","young_LT_HSC_135",0.00030053935681193
"A","B","young_LT_HSC_136",0.000408967231073336
"A","B","young_LT_HSC_137",0.000311241685236746
"A","B","young_LT_HSC_138",0.000457939827837481
"A","B","young_LT_HSC_139",0.000279606210817155
"A","B","young_LT_HSC_14",0.000329397072557645
"A","B","young_LT_HSC_140",0.000352442565480762
"A","B","young_LT_HSC_141",0.00262861013587528
"A","B","young_LT_HSC_142",0.000320093253409336
"A","B","young_LT_HSC_143",0.00246619919325985
"A","B","young_LT_HSC_144",0.000363867381770356
"A","B","young_LT_HSC_145",0.000310518973044025
"A","B","young_LT_HSC_146",0.000334436541586437
"A","B","young_LT_HSC_147",0.000519610719607407
"A","B","young_LT_HSC_148",0.000887565130311598
"A","B","young_LT_HSC_149",0.000331752018247603
"A","B","young_LT_HSC_15",0.000302831703558679
"A","B","young_LT_HSC_150",0.000307654305494116
