"from","to","cell_id","percentage"
"A","B","G1_cell1",0.771620498585737
"A","B","G1_cell10",0.651024834404211
"A","B","G1_cell11",0.75904804372577
"A","B","G1_cell13",0.721298529633126
"A","B","G1_cell14",0.787887467601688
"A","B","G1_cell15",0.532535220413218
"A","B","G1_cell16",0.837315779081117
"A","B","G1_cell17",0.727778682225681
"A","B","G1_cell18",0.936176150245438
"A","B","G1_cell19",0.633716041407192
"A","B","G1_cell2",0.620283031979572
"A","B","G1_cell20",0.779303135341796
"A","B","G1_cell21",0.621321254763081
"A","B","G1_cell22",0.811447966580168
"A","B","G1_cell23",0.792166918628094
"A","B","G1_cell24",0.794862104232826
"A","B","G1_cell25",0.71363059033071
"A","B","G1_cell26",0.794279831890273
"A","B","G1_cell27",0.717604587351958
"A","B","G1_cell28",0.900038148024593
"A","B","G1_cell29",0.804495875485845
"A","B","G1_cell3",0.929000385006486
"A","B","G1_cell30",0.909054580245657
"A","B","G1_cell31",0.749742345315594
"A","B","G1_cell32",0.731281863508949
"A","B","G1_cell33",0.751572527234473
"A","B","G1_cell35",0.590389192378625
"A","B","G1_cell36",0.808791054965512
"A","B","G1_cell37",0.762593431209296
"A","B","G1_cell38",0.905400668211983
"A","B","G1_cell39",0.683919414736376
"A","B","G1_cell4",0.926761474312673
"A","B","G1_cell40",0.741553667800444
"A","B","G1_cell41",0.873380345273596
"A","B","G1_cell42",0.862910083126072
"A","B","G1_cell44",0.901607219726741
"A","B","G1_cell45",0.643408039341077
"A","B","G1_cell46",0.855353966893155
"A","B","G1_cell47",0.929880173171943
"A","B","G1_cell48",0.816743674199873
"A","B","G1_cell49",0.727981063641181
"A","B","G1_cell5",0.618374966090155
"A","B","G1_cell50",0.777275304576977
"A","B","G1_cell51",0.546991901899695
"A","B","G1_cell52",0.698683646657469
"A","B","G1_cell53",0.584652599922204
"A","B","G1_cell54",0.837652046099664
"A","B","G1_cell55",0.802530811745189
"A","B","G1_cell56",0.609476145975776
"A","B","G1_cell57",0.677865050287496
"A","B","G1_cell58",0.752039872579092
"A","B","G1_cell6",0.928201284316435
"A","B","G1_cell60",0.621878368926484
"A","B","G1_cell61",0.542695593206153
"A","B","G1_cell62",0.612855051888147
"A","B","G1_cell63",0.757635150328944
"A","B","G1_cell64",0.662709325491099
"A","B","G1_cell65",0.79631992613719
"A","B","G1_cell66",0.947244767741009
"A","B","G1_cell67",0.562897147394838
"A","B","G1_cell68",0.533271357198861
"A","B","G1_cell69",0.806498085185838
"A","B","G1_cell7",0.806773699972887
"A","B","G1_cell70",0.870549433616172
"A","B","G1_cell71",0.709985463791059
"A","B","G1_cell72",0.817209506219321
"A","B","G1_cell73",0.670594240699241
"A","B","G1_cell74",0.978546943500681
"A","B","G1_cell75",0.751626180464935
"A","B","G1_cell76",0.961067324527211
"A","B","G1_cell77",0.756616984819274
"A","B","G1_cell78",0.859638040395103
"A","B","G1_cell79",0.842385343799494
"A","B","G1_cell8",0.873582709616185
"A","B","G1_cell80",0.686478185534895
"A","B","G1_cell81",0.885105358028475
"A","B","G1_cell82",0.728186802328733
"A","B","G1_cell83",0.783257686570614
"A","B","G1_cell84",0.818866598553604
"A","B","G1_cell85",0.500159365188354
"A","B","G1_cell86",0.765628148657038
"A","B","G1_cell87",0.571412472493432
"A","B","G1_cell88",0.813936171494625
"A","B","G1_cell9",0.907246954577557
"A","B","G1_cell90",0.956574793651549
"A","B","G1_cell91",0.892707728696277
"A","B","G1_cell92",0.685827934437415
"A","B","G1_cell93",0.654790133671659
"A","B","G1_cell94",0.925322171784125
"A","B","G1_cell95",0.918292142079029
"A","B","G1_cell96",0.813364363999934
"A","B","G2M_cell1",0.511298798794027
"A","B","G2M_cell10",0.93137861261484
"A","B","G2M_cell11",0.950621247385123
"A","B","G2M_cell12",0.902621524703498
"A","B","G2M_cell13",0.744622235516056
"A","B","G2M_cell14",0.527162407193126
"A","B","G2M_cell15",0.456615144891948
"A","B","G2M_cell16",0.871213925412871
"A","B","G2M_cell17",0.855430473446359
"A","B","G2M_cell18",0.890856155260919
"A","B","G2M_cell19",0.842624602718419
"A","B","G2M_cell2",0.86844587730184
"A","B","G2M_cell20",0.903309511689928
"A","B","G2M_cell21",0.930452483203952
"A","B","G2M_cell22",0.949061956900876
"A","B","G2M_cell23",0.687861928642928
"A","B","G2M_cell24",0.883555157485347
"A","B","G2M_cell25",0.672392625926533
"A","B","G2M_cell26",0.828757094110305
"A","B","G2M_cell27",0.726952959867574
"A","B","G2M_cell28",0.832365228006428
"A","B","G2M_cell29",0.798675867886752
"A","B","G2M_cell3",0.714483154092953
"A","B","G2M_cell30",0.831596726994827
"A","B","G2M_cell31",0.940873623725396
"A","B","G2M_cell32",0.918848114715424
"A","B","G2M_cell34",0.966335177221651
"A","B","G2M_cell35",0.740823957482997
"A","B","G2M_cell36",0.914626821376383
"A","B","G2M_cell37",0.765787108316448
"A","B","G2M_cell38",0.83075488655714
"A","B","G2M_cell39",0.803113900452975
"A","B","G2M_cell4",0.873217082661043
"A","B","G2M_cell40",0.820491581112288
"A","B","G2M_cell41",0.894927640892547
"A","B","G2M_cell42",0.881510322789969
"A","B","G2M_cell43",0.962226249208234
"A","B","G2M_cell44",0.938576840989992
"A","B","G2M_cell45",0.947999572306004
"A","B","G2M_cell46",0.900840297004136
"A","B","G2M_cell47",0.899994977050876
"A","B","G2M_cell48",0.890586386870465
"A","B","G2M_cell49",0.845352120060663
"A","B","G2M_cell5",0.818726956137811
"A","B","G2M_cell50",0.609343545277962
"A","B","G2M_cell51",0.497715730901571
"A","B","G2M_cell52",0.73241492455265
"A","B","G2M_cell53",0.834420084035504
"A","B","G2M_cell54",0.896501303961864
"A","B","G2M_cell55",0.913294688484533
"A","B","G2M_cell56",0.917860702972701
"A","B","G2M_cell57",0.952397945672685
"A","B","G2M_cell58",0.849119982469536
"A","B","G2M_cell59",0.8754963764419
"A","B","G2M_cell6",0.952007111091055
"A","B","G2M_cell60",0.946834012941956
"A","B","G2M_cell61",0.666351595867403
"A","B","G2M_cell62",0.705746335950799
"A","B","G2M_cell63",0.854163434174158
"A","B","G2M_cell64",0.607637634874875
"A","B","G2M_cell65",0.808973265903074
"A","B","G2M_cell66",0.840076563810791
"A","B","G2M_cell67",0.705171934536849
"A","B","G2M_cell68",0.898172647994528
"A","B","G2M_cell69",0.944553271523435
"A","B","G2M_cell7",0.874912632389365
"A","B","G2M_cell70",0.826554501631996
"A","B","G2M_cell71",0.792076827861656
"A","B","G2M_cell72",0.870638184732306
"A","B","G2M_cell73",0.761668399042621
"A","B","G2M_cell75",0.787943624328497
"A","B","G2M_cell76",0.756962324031502
"A","B","G2M_cell77",0.809350000035305
"A","B","G2M_cell78",0.904386808285258
"A","B","G2M_cell79",0.860688858364098
"A","B","G2M_cell8",0.943417448785199
"A","B","G2M_cell80",0.963072982603905
"A","B","G2M_cell81",0.876897355092981
"A","B","G2M_cell82",0.933874107023477
"A","B","G2M_cell83",0.687001674939047
"A","B","G2M_cell84",0.813998088247908
"A","B","G2M_cell85",0.864092622265612
"A","B","G2M_cell86",0.897717819495832
"A","B","G2M_cell87",0.628189595513633
"A","B","G2M_cell88",0.875039981729382
"A","B","G2M_cell89",0.910776499103043
"A","B","G2M_cell9",0.959477225180803
"A","B","G2M_cell90",0.905987121745123
"A","B","G2M_cell91",0.937660569425728
"A","B","G2M_cell93",0.972573230059766
"A","B","G2M_cell94",1
"A","B","G2M_cell95",0.993806679399468
"A","B","G2M_cell96",0.941339832239918
"A","B","S_cell10",0.834006545996109
"A","B","S_cell11",0.783822577266715
"A","B","S_cell12",0.647073846994357
"A","B","S_cell14",0.924240704203873
"A","B","S_cell15",0.788113305785656
"A","B","S_cell16",0.8826687344449
"A","B","S_cell17",0.831038727053867
"A","B","S_cell18",0.676953745157755
"A","B","S_cell19",0.916284153075613
"A","B","S_cell2",0.94446111859202
"A","B","S_cell20",0.832975020321816
"A","B","S_cell21",0.544749900623297
"A","B","S_cell22",0.837072634090431
"A","B","S_cell23",0.700819111884626
"A","B","S_cell24",0.194294446174636
"A","B","S_cell26",0.88374143525192
"A","B","S_cell27",0.885946575086586
"A","B","S_cell28",0.801938276460147
"A","B","S_cell29",0.83506725532958
"A","B","S_cell3",0.914186551717992
"A","B","S_cell30",0.814099706804423
"A","B","S_cell31",0.829268582736261
"A","B","S_cell32",0.72847421597301
"A","B","S_cell33",0.827235660308405
"A","B","S_cell34",0.863204578745734
"A","B","S_cell35",0.78335549974373
"A","B","S_cell36",0
"A","B","S_cell38",0.915155877225436
"A","B","S_cell39",0.844625039807907
"A","B","S_cell4",0.936213865725063
"A","B","S_cell40",0.887612948613559
"A","B","S_cell41",0.750368861786004
"A","B","S_cell42",0.717541782092617
"A","B","S_cell43",0.939674735424633
"A","B","S_cell44",0.866593173387862
"A","B","S_cell45",0.848466041217121
"A","B","S_cell46",0.859689378595259
"A","B","S_cell47",0.781526781598863
"A","B","S_cell48",0.697951598958348
"A","B","S_cell5",0.866345779730906
"A","B","S_cell50",0.839182107819324
