"from","to","cell_id","percentage"
"A","B","A10",0.622204846739492
"A","B","A11",0.562215464475258
"A","B","A12",0.707988128214322
"A","B","A13",0.772684256257874
"A","B","A14",0.761340924419093
"A","B","A15",0.688410867480046
"A","B","A16",0.838199540682077
"A","B","A18",0.741269223730116
"A","B","A19",0.69480128965934
"A","B","A20",0.611689453397204
"A","B","A21",0.721546649174275
"A","B","A3",0.70969253118319
"A","B","A4",0.624267603864098
"A","B","A5",0.763311541851425
"A","B","A6",0.758816105152835
"A","B","A7",0.839092216511251
"A","B","A8",0.908921224848306
"A","B","A9",0.830255666385613
"A","B","D14",0.970887495483005
"A","B","D15",0.966333853408069
"A","B","D16",0.916827766852736
"A","B","D17",0.916080256396783
"A","B","D19",0.991022481082105
"A","B","D2",0.577310357164235
"A","B","D20",0.935212108034619
"A","B","D21",0.969714858234818
"A","B","D22",0.927627675991677
"A","B","D24",1
"A","B","D3",0.584937704480588
"A","B","D4",0.769210520557097
"A","B","D5",0.521825397177058
"A","B","D6",0.719859321357594
"A","B","D7",0.518157119695881
"A","B","E1",0.969945131261719
"A","B","E11",0.956899737258567
"A","B","E12",0.819941010276599
"A","B","E13",0.760913570584303
"A","B","E14",0.726381864391863
"A","B","E16",0.63729833238808
"A","B","E17",0
"A","B","E18",0.701314646683518
"A","B","E19",0.523474632628488
"A","B","E20",0.867422182393101
"A","B","E22",0.790342221954956
"A","B","E23",0.715886316295012
"A","B","E24",0.765879110107659
"A","B","E4",0.952443169692299
"A","B","E5",0.953502117462282
"A","B","E6",0.936136960054319
"A","B","E7",0.905610903704715
"A","B","E8",0.953949292093792
"A","B","E9",0.822661845629808
"A","B","F1",0.852280462231068
"A","B","F16",0.993329175071161
"A","B","F17",0.901919161930099
"A","B","F18",0.948551212657796
"A","B","F19",0.958016922533841
"A","B","F2",0.829682188698692
"A","B","F20",0.950422042560366
"A","B","F21",0.935120892740126
"A","B","F22",0.968589002800179
"A","B","F23",0.951478126472401
"A","B","F24",0.889112381000117
"A","B","F3",0.88584977267122
"A","B","F4",0.877935018007988
"A","B","F5",0.892918637381124
"A","B","G10",0.858052392256623
"A","B","G12",0.837100346326396
"A","B","G13",0.852253795588538
"A","B","G14",0.614998115721719
"A","B","G15",0.882398866899822
"A","B","G16",0.868500570540314
"A","B","G17",0.924015726180422
"A","B","G18",0.391362605384404
"A","B","G19",0.823270868262861
"A","B","G20",0.82270630148199
"A","B","G21",0.824879174310242
"A","B","G22",0.888018084428906
"A","B","G23",0.819497048998549
"A","B","G24",0.857579531219799
"A","B","G4",0.95247941796377
"A","B","G5",0.844218798838909
"A","B","G6",0.925506370152487
"A","B","G7",0.925668951520226
"A","B","G8",0.884738605559763
"A","B","G9",0.621591578761884
"A","B","H15",0.929687949505557
"A","B","H16",0.899938048440795
"A","B","H17",0.933696787912702
"A","B","H18",0.945350415636728
"A","B","H2",0.9909172839558
"A","B","H20",0.958870864269131
"A","B","H21",0.823845503904237
"A","B","H22",0.853647048156317
"A","B","H23",0.874135327944745
"A","B","H3",0.919544167270647
"A","B","I10",0.658755276851262
"A","B","I11",0.827798579315247
"A","B","I12",0.886700852563993
"A","B","I13",0.4787160843841
"A","B","I14",0.877038417842276
"A","B","I15",0.942943746058121
"A","B","I16",0.685631705835481
"A","B","I17",0.884390663298684
"A","B","I18",0.901157827343905
"A","B","I20",0.824111387873671
"A","B","I21",0.831584131308208
"A","B","I22",0.869033044906717
"A","B","I23",0.83783226417754
"A","B","I24",0.808163680298869
"A","B","I8",0.841063408396899
"A","B","J1",0.873695166625316
"A","B","J10",0.861988043349679
"A","B","J11",0.797216638112005
"A","B","J3",0.923419644805096
"A","B","J4",0.858542768511539
"A","B","J5",0.911671536092292
"A","B","J6",0.872611936261058
"A","B","J7",0.839445989259833
"A","B","J8",0.934563797409669
"A","B","J9",0.851501715848285
"A","B","K18",0.95551948280019
"A","B","K20",0.919344222437018
"A","B","K21",0.641684470087406
"A","B","K22",0.82454619773151
"A","B","K23",0.576886130565679
"A","B","K24",0.899183006402832
"A","B","L10",0.850365849564143
"A","B","L11",0.918297533070924
"A","B","L12",0.728512074165333
"A","B","L13",0.760717986431041
"A","B","L14",0.927435745570161
"A","B","L17",0.783872530837376
"A","B","L2",0.92208722450558
"A","B","L3",0.922124923105073
"A","B","L4",0.962380751664677
"A","B","L5",0.456084541721617
"A","B","L6",0.83752532759613
"A","B","L8",0.922052161549212
"A","B","L9",0.903118976794076
"A","B","M1",0.911907954773772
"A","B","M2",0.922658311057889
"A","B","M22",0.922885415417044
"A","B","M23",0.884245330200892
"A","B","M24",0.854202422763885
"A","B","M3",0.690518698772631
"A","B","M4",0.841599924213724
"A","B","M5",0.875504402462599
"A","B","M6",0.794877152071131
"A","B","N11",0.969706896969944
"A","B","N13",0.912671285351508
"A","B","N14",0.801995385418866
"A","B","N15",0.951540532082418
"A","B","N16",0.889461628893972
"A","B","N17",0.895270750830682
"A","B","N18",0.95611768599412
"A","B","N19",0.883361027937779
"A","B","N20",0.842930393485036
"A","B","N21",0.900179213451337
"A","B","N22",0.750401055113601
"A","B","N23",0.905151056550207
"A","B","N24",0.880798943466632
