"from","to","cell_id","percentage"
"A","B","GSM1488302",0.255274182872944
"A","B","GSM1488303",0.276347740635374
"A","B","GSM1488304",0.214326623913226
"A","B","GSM1488305",0.217162714249618
"A","B","GSM1488306",0.26774038123267
"A","B","GSM1488307",0.276148038860351
"A","B","GSM1488308",0.275794873976486
"A","B","GSM1488309",0.236685777551796
"A","B","GSM1488310",0.27660295624857
"A","B","GSM1488311",0.278764902269203
"A","B","GSM1488312",0.237274064717988
"A","B","GSM1488313",0.22426879826648
"A","B","GSM1488314",0.297068556324678
"A","B","GSM1488315",0.273389560354935
"A","B","GSM1488316",0.309773129576614
"A","B","GSM1488317",0.230067644428799
"A","B","GSM1488318",0.226882247691766
"A","B","GSM1488320",0.237364339007058
"A","B","GSM1488321",0.222192065086066
"A","B","GSM1488322",0.398815306778439
"A","B","GSM1488323",0.265165246605271
"A","B","GSM1488324",0.257396994951008
"A","B","GSM1488325",0.233745832873467
"A","B","GSM1488326",0.230722103797285
"A","B","GSM1488327",0.292714068695837
"A","B","GSM1488328",0.228956159726395
"A","B","GSM1488329",0.223486738554839
"A","B","GSM1488331",0.234853657137882
"A","B","GSM1488332",0.270440657205891
"A","B","GSM1488333",0.235045749587056
"A","B","GSM1488334",0.373414955727924
"A","B","GSM1488335",0.331470319016752
"A","B","GSM1488336",0.284439292461951
"A","B","GSM1488337",0.216062698925865
"A","B","GSM1488338",0.234319205437493
"A","B","GSM1488339",0.404334321896927
"A","B","GSM1488340",0.414039867214431
"A","B","GSM1488341",0.286574755233603
"A","B","GSM1488342",0.431691646015266
"A","B","GSM1488343",0.275469198062298
"A","B","GSM1488344",0.245407225283039
"A","B","GSM1488345",0.32620766463466
"A","B","GSM1488346",0.271765555908617
"A","B","GSM1488348",0.257575476997974
"A","B","GSM1488349",0.404275438058629
"A","B","GSM1488350",0.275275079163309
"A","B","GSM1488351",0.210908716146012
"A","B","GSM1488352",0.260657320084078
"A","B","GSM1488353",0.204863073236342
"A","B","GSM1488354",0.342795481145656
"A","B","GSM1488355",0.283081228167377
"A","B","GSM1488356",0.319816121742906
"A","B","GSM1488357",0.243684800278683
"A","B","GSM1488358",0.207202136927553
"A","B","GSM1488359",0.202254561193948
"A","B","GSM1488360",0.225177440241225
"A","B","GSM1488361",0.222029589109106
"A","B","GSM1488362",0.260656460598541
"A","B","GSM1488363",0.22905034603728
"A","B","GSM1488364",0.279616278326925
"A","B","GSM1488365",0.485691367984919
"A","B","GSM1488366",0.237949302643882
"A","B","GSM1488368",0.256828966640322
"A","B","GSM1488369",0.253024619558361
"A","B","GSM1488370",0.354505374557199
"A","B","GSM1488371",0.217022511114143
"A","B","GSM1488372",0.284724964908893
"A","B","GSM1488373",0.204618875406609
"A","B","GSM1488374",0.239295621198553
"A","B","GSM1488375",0.262642344795294
"A","B","GSM1488376",0.275186790194361
"A","B","GSM1488377",0.491608851943592
"A","B","GSM1488378",0.341742452753506
"A","B","GSM1488379",0.193507873778235
"A","B","GSM1488380",0.358092551814047
"A","B","GSM1488381",0.234201979360057
"A","B","GSM1488382",0.27989943540191
"A","B","GSM1488383",0.237264346571899
"A","B","GSM1488384",0.289799853748245
"A","B","GSM1488386",0.387914814902679
"A","B","GSM1488387",0.292680329400363
"A","B","GSM1488389",0.426399142760425
"A","B","GSM1488390",0.203437935445635
"A","B","GSM1488391",0.489033399905833
"A","B","GSM1488392",0.213558062938477
"A","B","GSM1488393",0.288751341550827
"A","B","GSM1488394",0.243248013816876
"A","B","GSM1488395",0.290060330439095
"A","B","GSM1488397",0.313222688089792
"A","B","GSM1488398",0.229007716462642
"A","B","GSM1488399",0.226927749970181
"A","B","GSM1488400",0.215672239423445
"A","B","GSM1488401",0.228246719679113
"A","B","GSM1488402",0.135311727694227
"A","B","GSM1488403",0.163866670364218
"A","B","GSM1488404",0.199412762787433
"A","B","GSM1488405",0.0668056512794656
"A","B","GSM1488406",0.189169243425624
"A","B","GSM1488407",0.191368859731061
"A","B","GSM1488408",0.208138992083566
"A","B","GSM1488409",0.201066789853673
"A","B","GSM1488410",0.218863310198767
"A","B","GSM1488411",0.107514033391252
"A","B","GSM1488412",0.216525968695335
"A","B","GSM1488413",0.205550365561194
"A","B","GSM1488414",0.11627952062805
"A","B","GSM1488415",0.210132440953454
"A","B","GSM1488416",0.176733437973904
"A","B","GSM1488417",0.201291063453058
"A","B","GSM1488418",0.212787197116312
"A","B","GSM1488419",0.196462536593729
"A","B","GSM1488420",0.206215704928942
"A","B","GSM1488421",0.141996411073163
"A","B","GSM1488422",0.0571232823418817
"A","B","GSM1488423",0.209851087026074
"A","B","GSM1488424",0.185364979384774
"A","B","GSM1488425",0.123273000523662
"A","B","GSM1488426",0.121855978496155
"A","B","GSM1488427",0.223873210699029
"A","B","GSM1488428",0.221448868874452
"A","B","GSM1488429",0.238040931038237
"A","B","GSM1488430",0.202915303922479
"A","B","GSM1488431",0.133450577428308
"A","B","GSM1488432",0.197922318278237
"A","B","GSM1488434",0.0927524090347693
"A","B","GSM1488435",0.131410017691856
"A","B","GSM1488436",0.19665255980151
"A","B","GSM1488437",0.155601085403846
"A","B","GSM1488438",0.194780007335864
"A","B","GSM1488439",0.22257756261974
"A","B","GSM1488440",0.210650797768341
"A","B","GSM1488441",0.189641219541569
"A","B","GSM1488442",0.197144218519709
"A","B","GSM1488443",0.202498052158341
"A","B","GSM1488444",0.178897655664609
"A","B","GSM1488445",0.188944518523929
"A","B","GSM1488446",0.20174997859215
"A","B","GSM1488447",0.0981922528771594
"A","B","GSM1488448",0.255336769954095
"A","B","GSM1488449",0.197958847320549
"A","B","GSM1488450",0.117436898787001
"A","B","GSM1488451",0.188887830273501
"A","B","GSM1488452",0.209020038736867
"A","B","GSM1488453",0.262462325035458
"A","B","GSM1488455",0.162518358880986
"A","B","GSM1488456",0.220071461801921
"A","B","GSM1488457",0
"A","B","GSM1488458",0.19828567863556
"A","B","GSM1488459",0.18577866812587
"A","B","GSM1488460",0.208135930618288
"A","B","GSM1488461",0.0747110162384393
"A","B","GSM1488462",0.147996867987638
"A","B","GSM1488463",0.201284692060382
"A","B","GSM1488464",0.199831740761047
"A","B","GSM1488465",0.242785183617911
"A","B","GSM1488466",0.13522823216274
"A","B","GSM1488467",0.199888149428545
"A","B","GSM1488468",0.179529400016764
"A","B","GSM1488471",0.191827141483089
"A","B","GSM1488473",0.186306057056912
"A","B","GSM1488475",0.161525426588847
"A","B","GSM1488478",0.199227459275126
"A","B","GSM1488480",0.249225047191895
"A","B","GSM1488483",0.192497427655639
"A","B","GSM1488485",0.0705782827320959
"A","B","GSM1488487",0.187004841476191
"A","B","GSM1488489",0.200681504905112
"A","B","GSM1488492",0.20518855799219
"A","B","GSM1488494",0.187214942161125
"A","B","GSM1488497",0.13381230369158
"A","B","GSM1488499",0.192358489821067
"A","B","GSM1488502",0.180697491482263
"A","B","GSM1488504",0.168100505452042
"A","B","GSM1488506",0.0842016572624743
"A","B","GSM1488509",0.196946526299853
"A","B","GSM1488511",0.196222229323544
"A","B","GSM1488512",0.16960785169428
"A","B","GSM1488513",0.218057550727854
"A","B","GSM1488514",0.2049613765964
"A","B","GSM1488516",0.241657789597369
"A","B","GSM1488517",0.262047181377206
"A","B","GSM1488518",0.623413407754146
"A","B","GSM1488519",0.808799949571982
"A","B","GSM1488520",0.643169937449371
"A","B","GSM1488521",0.532888813473703
"A","B","GSM1488522",0.475019738841769
"A","B","GSM1488523",0.629143598721813
"A","B","GSM1488524",0.962903579143967
"A","B","GSM1488525",0.864319710921976
"A","B","GSM1488526",0.451765420451451
"A","B","GSM1488527",0.664438278429076
"A","B","GSM1488528",0.650702319100719
"A","B","GSM1488529",0.453682824016524
"A","B","GSM1488530",0.3168836813783
"A","B","GSM1488531",1
"A","B","GSM1488532",0.720946328293042
"A","B","GSM1488533",0.893610188039199
"A","B","GSM1488534",0.307192459618821
"A","B","GSM1488535",0.445990478651352
"A","B","GSM1488536",0.495654915784749
"A","B","GSM1488537",0.461616494983972
"A","B","GSM1488538",0.394611954451782
"A","B","GSM1488539",0.383424599026065
"A","B","GSM1488540",0.479580800192564
"A","B","GSM1488541",0.50585763144682
"A","B","GSM1488542",0.375979903178945
"A","B","GSM1488543",0.536671889158891
"A","B","GSM1488544",0.737999778636
"A","B","GSM1488545",0.687970864984673
"A","B","GSM1488546",0.566752242056601
"A","B","GSM1488547",0.54018892069524
"A","B","GSM1488548",0.54141075935158
"A","B","GSM1488549",0.412042194282006
"A","B","GSM1488550",0.803178124242695
"A","B","GSM1488551",0.366331853989342
"A","B","GSM1488552",0.918627288329273
"A","B","GSM1488553",0.625977773139379
"A","B","GSM1488554",0.468949705466921
"A","B","GSM1488555",0.624579754892414
"A","B","GSM1488556",0.551870917835555
"A","B","GSM1488557",0.720285737932508
"A","B","GSM1488558",0.349060912697537
"A","B","GSM1488559",0.355532766473039
"A","B","GSM1488560",0.513608693379518
"A","B","GSM1488561",0.438883675260992
"A","B","GSM1488562",0.491125634412111
"A","B","GSM1488563",0.388521174690804
"A","B","GSM1488565",0.366961070773136
"A","B","GSM1488566",0.372091324102961
"A","B","GSM1488567",0.336436618049186
"A","B","GSM1488569",0.380493032932422
"A","B","GSM1488570",0.588778184788538
"A","B","GSM1488571",0.93916263405659
"A","B","GSM1488572",0.455100282943261
"A","B","GSM1488573",0.891120664335529
"A","B","GSM1488574",0.389061699727311
"A","B","GSM1488575",0.340412866906206
"A","B","GSM1488576",0.582765042998498
