"from","to","cell_id","percentage"
"A","B","GSM1677474",0.130810621507768
"A","B","GSM1677475",0.0687374697757096
"A","B","GSM1677477",0.0558085973269695
"A","B","GSM1677478",0.133942638762759
"A","B","GSM1677479",0.0973669965041861
"A","B","GSM1677480",0.0670158674919487
"A","B","GSM1677481",0.118529407943751
"A","B","GSM1677482",0.122229474816369
"A","B","GSM1677483",0.246409425319442
"A","B","GSM1677484",0.370595243525555
"A","B","GSM1677485",0.272558358239008
"A","B","GSM1677486",0.175452719777174
"A","B","GSM1677487",0.183578230381599
"A","B","GSM1677488",0.258461395165618
"A","B","GSM1677489",0.206880785716446
"A","B","GSM1677490",0.153339160201462
"A","B","GSM1677491",0.25449384703469
"A","B","GSM1677492",0.509781392627046
"A","B","GSM1677493",0.240217308543964
"A","B","GSM1677494",0.276858413112844
"A","B","GSM1677495",0.336271510995111
"A","B","GSM1677496",0.359768496757612
"A","B","GSM1677497",0.331151924543453
"A","B","GSM1677498",0.186100415419511
"A","B","GSM1677499",0.34764927742964
"A","B","GSM1677500",0.3333128628388
"A","B","GSM1677501",1
"A","B","GSM1677502",0.5456213319941
"A","B","GSM1677503",0.411593763494134
"A","B","GSM1677504",0.438345917900586
"A","B","GSM1677505",0.182853087668074
"A","B","GSM1677506",0.24406863269104
"A","B","GSM1677507",0.265620090354586
"A","B","GSM1677508",0.222332512648454
"A","B","GSM1677509",0.267230605102481
"A","B","GSM1677510",0.146016337840016
"A","B","GSM1677511",0.312040698296783
"A","B","GSM1677512",0.353754140806981
"A","B","GSM1677513",0.262853220814773
"A","B","GSM1677514",0.228831272024583
"A","B","GSM1677515",0.382166092437192
"A","B","GSM1677516",0.66253732848088
"A","B","GSM1677517",0.4545801095902
"A","B","GSM1677518",0.27745084783493
"A","B","GSM1677519",0.14679832612634
"A","B","GSM1677520",0.320866992253836
"A","B","GSM1677521",0.587045853021509
"A","B","GSM1677522",0.322815635188016
"A","B","GSM1677523",0.282322679358842
"A","B","GSM1677524",0.211245259187567
"A","B","GSM1677525",0.293144608391359
"A","B","GSM1677526",0.141262092042877
"A","B","GSM1677527",0.327776897672708
"A","B","GSM1677528",0.249413733992592
"A","B","GSM1677529",0.198441685868514
"A","B","GSM1677530",0.102316709971538
"A","B","GSM1677531",0.125739206785887
"A","B","GSM1677532",0.148919976884446
