"from","to","cell_id","percentage"
"A","B","GSM1677622",0.0524618836814997
"A","B","GSM1677623",0.0160648115510514
"A","B","GSM1677624",0.377055840734464
"A","B","GSM1677625",0.465431168580131
"A","B","GSM1677626",0.304888874950828
"A","B","GSM1677627",0.376621701445639
"A","B","GSM1677628",0.310197502382429
"A","B","GSM1677629",0.453884543456167
"A","B","GSM1677630",0.340372161878841
"A","B","GSM1677631",0.415433533473449
"A","B","GSM1677632",0.450424106478532
"A","B","GSM1677633",0.422297896975869
"A","B","GSM1677634",0.468205459047437
"A","B","GSM1677635",0.629503607244058
"A","B","GSM1677636",0.768685033560205
"A","B","GSM1677637",0.471058205093247
"A","B","GSM1677638",0.754800628053869
"A","B","GSM1677639",0.799577922187996
"A","B","GSM1677640",0.761499235489134
"A","B","GSM1677641",0.792229436267196
"A","B","GSM1677642",0.517005727526611
"A","B","GSM1677643",0.737650387772149
"A","B","GSM1677644",0.786054676294434
"A","B","GSM1677645",0.428829033236717
"A","B","GSM1677646",0.52964614245924
"A","B","GSM1677647",0.382235860759757
"A","B","GSM1677648",0.371226484197352
"A","B","GSM1677649",0.697764521796255
"A","B","GSM1677650",0.739121506586307
"A","B","GSM1677651",0.570005554537912
"A","B","GSM1677652",0.747097802916593
"A","B","GSM1677653",0.730231851323853
"A","B","GSM1677654",0.867688873205414
"A","B","GSM1677655",0.749540156619755
"A","B","GSM1677661",0.891499001021122
"A","B","GSM1677663",0.885031787758104
"A","B","GSM1677664",0.844316322285511
"A","B","GSM1677665",0.228668829208374
"A","B","GSM1677666",0.382694648449149
"A","B","GSM1677667",0.310923949307634
"A","B","GSM1677668",0.0178877956855242
"A","B","GSM1677669",0
"A","B","GSM1677670",0.201031974648524
"A","B","GSM1677671",0.292547128649894
"A","B","GSM1677672",0.607413348082239
"A","B","GSM1677673",0.578269798950835
"A","B","GSM1677675",0.922686700676854
"A","B","GSM1677676",0.962331258234768
"A","B","GSM1677680",0.841428167873009
"A","B","GSM1677681",0.789826910586039
"A","B","GSM1677682",0.937553330441319
"A","B","GSM1677683",0.859079168169088
"A","B","GSM1677684",0.971579814065664
"A","B","GSM1677685",0.959948642848092
"A","B","GSM1677686",0.996829864317714
"A","B","GSM1677687",0.997957717469685
"A","B","GSM1677688",0.945037601712357
"A","B","GSM1677689",0.979949424876292
"A","B","GSM1677690",1
"A","B","GSM1677691",0.994025312560732
"A","B","GSM1677692",0.950727910223789
"A","B","GSM1677693",0.955757890465972
"A","B","GSM1677694",0.945602805656896
"A","B","GSM1677695",0.959552910376164
"A","B","GSM1677696",0.925459309170927
"A","B","GSM1677697",0.951061781356947
"A","B","GSM1677698",0.959683298439602
"A","B","GSM1677699",0.953315564285371
"A","B","GSM1677700",0.955359068877529
"A","B","GSM1677701",0.966379075649315
"A","B","GSM1677702",0.998245542716587
"A","B","GSM1677703",0.947623195398915
"A","B","GSM1677704",0.904631136433555
"A","B","GSM1677705",0.835478028923436
"A","B","GSM1677754",0.629437155987933
"A","B","GSM1677755",0.598921906468035
"A","B","GSM1677756",0.690732638579917
"A","B","GSM1677757",0.698914189823791
"A","B","GSM1677758",0.739458158370295
"A","B","GSM1677759",0.632975790856826
"A","B","GSM1677760",0.809783564454366
"A","B","GSM1677761",0.743884172069862
"A","B","GSM1677762",0.865243489809252
"A","B","GSM1677763",0.808595695005816
"A","B","GSM1677764",0.789798753333029
"A","B","GSM1677765",0.540067098646633
"A","B","GSM1677766",0.770172392480444
"A","B","GSM1677767",0.810283868902648
"A","B","GSM1677768",0.613221015136512
"A","B","GSM1677769",0.553336198684422
"A","B","GSM1677786",0.657296714042169
"A","B","GSM1677792",0.534728479741999
"A","B","GSM1677793",0.436963897777913
"A","B","GSM1677794",0.435024469971978
"A","B","GSM1677795",0.388196050089812
"A","B","GSM1677796",0.121115265914596
"A","B","GSM1677797",0.178543041152618
"A","B","GSM1677798",0.0242084417546082
"A","B","GSM1677799",0.398186313163115
"A","B","GSM1677800",0.187766482658925
